Symptoms,Main Category,Subcategory
joint pain,Musculoskeletal,Arthralgia
arthralgia,Musculoskeletal,Joint Pain
calf problems,Musculoskeletal,Lower Leg Pain
flank pain,Musculoskeletal or Genitourinary,Side Pain
groin pain,Musculoskeletal or Reproductive,Groin
foot problems,Musculoskeletal or Skin,Foot Issues
subcutaneous nodules,Musculoskeletal or Skin,Lesion
jaw claudication,Musculoskeletal or Vascular,Jaw Pain
jaw claudication,Musculoskeletal or Vascular,Jaw Pain
protruding tongue,Neur,
protruding tongue,Neur,
loss of sensation,Neurological,Sensory
prosopagnosia,Neurological,Face Blindness
unresponsive episodes,Neurological,Altered Consciousness
loss of smell,Neurological,Anosmia
shaking,Neurological,Tremor
loss of balance,Neurological,Coordination
loss of facial expression,Neurological,Facial Nerve
loss of feeling,Neurological,Sensory Loss
loss of speech,Neurological,Aphasia
loss of taste,Neurological,Ageusia
tongue numbness,Neurological,Oral Sensation
Weakness,Neurological,Muscular
shaking hands,Neurological,Tremor
sensation loss,Neurological,Sensory
lack of coordination,Neurological,Ataxia
seizure,Neurological,Fits
trouble speaking,Neurological,Speech Disturbance
anosmia,Neurological,Smell Disturbance
twitching muscles,Neurological,Fasciculations
trigeminal neuralgia,Neurological,Nerve Pain
tremor hands,Neurological,Tremor
balance difficulty,Neurological,Coordination
confusion,Neurological,Altered Mental Status
dysgeusia,Neurological,Taste Disturbance
essential tremor,Neurological,Tremor
tremor at rest,Neurological,Tremor
dysarthria,Neurological,Speech Disorder
face blindness,Neurological,Prosopagnosia
facial droop,Neurological,Facial Nerve
ageusia,Neurological,Taste Disturbance
changed sense of smell,Neurological,Smell Disturbance
acute confusion,Neurological,Delirium
fits,Neurological,Seizure
concussion,Neurological,Traumatic Brain Injury
impaired taste,Neurological,Taste Disturbance
disorientation,Neurological,Confusion
changed sense of smell,Neurological,Smell Disturbance
prosopagnosia,Neurological,Face Blindness
poor coordination,Neurological,Ataxia
hyperosmia,Neurological,Smell Sensitivity
delirium,Neurological,Acute Confusion
vertigo,Neurological,Spinning
lack of coordination,Neurological,Ataxia
loss of balance,Neurological,Coordination
hemiparesis,Neurological,Weakness One Side
difficulty speaking,Neurological,Speech Disturbance
loss of facial expression,Neurological,Facial Nerve
loss of feeling,Neurological,Sensory Loss
tension headache,Neurological,Headache
post herpetic neuralgia,Neurological,Shingles Complication
loss of sensation,Neurological,Sensory
loss of smell,Neurological,Anosmia
ataxia,Neurological,Coordination
loss of speech,Neurological,Aphasia
loss of taste,Neurological,Ageusia
altered gait,Neurological,Coordination
arm numbness,Neurological,Nerve/Peripheral
poor coordination,Neurological,Ataxia
sudden confusion,Neurological,Delirium
weakness on one side of body,Neurological,Hemiparesis
amnesia,Neurological,Memory
dizziness,Neurological,Vertigo
altered mental status,Neurological,Altered Consciousness
hand numbness,Neurological,Nerve Symptom
hypogeusia,Neurological,Taste Disturbance
post herpetic neuralgia,Neurological,Shingles Complication
coordination problems,Neurological,Ataxia
foot drop,Neurological,Motor Deficit
prickling,Neurological,Paresthesia
unsteady gait,Neurological,Ataxia
lightheadedness,Neurological,Syncope or Presyncope
forgetfulness,Neurological,Cognition
headache,Neurological,Pain
frontal headache,Neurological,Headache
stml (*possibly short term memory loss?),Neurological,Memory
aphonia,Neurological,Speech/Voice Disturbance
aphasia,Neurological,Language Disturbance
tingling,Neurological,Paresthesia
tics,Neurological,Involuntary Movement
cluster headache,Neurological,Headache
brain fog,Neurological,Cognitive Impairment
decreased coordination,Neurological,Ataxia
prickling,Neurological,Paresthesia
hand tremors,Neurological,Tremor
lightheadedness,Neurological,Syncope or Presyncope
tingling extremities,Neurological,Paresthesia
loss of consciousness,Neurological or Cardiovascular,Syncope
postural dizziness,Neurological or Cardiovascular,Orthostatic
syncope,Neurological or Cardiovascular,Fainting
postural dizziness,Neurological or Cardiovascular,Orthostatic
loss of consciousness,Neurological or Cardiovascular,Syncope
fainting,Neurological or Cardiovascular,Syncope
generalised weakness,Neurological or Constitutional,Weakness
language difficulties,Neurological or Developmental,Aphasia or Dyslexia
language difficulties,Neurological or Developmental,Aphasia or Dyslexia
diplopia,Neurological or EENT,Double Vision
double vision,Neurological or EENT,Diplopia
visual aura,Neurological or EENT,Migraine
frequent blinking,Neurological or EENT,Tic/Blink
difficulty swallowing,Neurological or EENT,Dysphagia
visual disturbances,Neurological or EENT,Vision
lump in throat,Neurological or ENT,Globus
lump in throat,Neurological or ENT,Globus
globus sensation,Neurological or ENT,Sensation
globus,Neurological or ENT,Throat Sensation
swallowing difficulty,Neurological or GI,Dysphagia
swallowing pills,Neurological or GI,Dysphagia
swallowing problems,Neurological or GI,Dysphagia
dysphagia,Neurological or GI,Difficulty Swallowing
problems swallowing pills,Neurological or GI,Dysphagia
problems swallowing pills,Neurological or GI,Dysphagia
yawning excessively,Neurological or General,Fatigue
stuttering,Neurological or Mental Health,Speech
phonophobia,Neurological or Mental Health,Sound Sensitivity
difficulty concentrating,Neurological or Mental Health,Attention
phonophobia,Neurological or Mental Health,Sound Sensitivity
arm weakness,Neurological or Musculoskeletal,Extremity Weakness
low muscle tone,Neurological or Musculoskeletal,Hypotonia
sciatica,Neurological or Musculoskeletal,Nerve Pain
trouble walking,Neurological or Musculoskeletal,Gait
atrophy,Neurological or Musculoskeletal,Wasting
lockjaw,Neurological or Musculoskeletal,Trismus
hypotonia,Neurological or Musculoskeletal,Low Muscle Tone
low muscle tone,Neurological or Musculoskeletal,Hypotonia
weak grip,Neurological or Musculoskeletal,Weakness
lockjaw,Neurological or Musculoskeletal,Trismus
tripping while walking,Neurological or Musculoskeletal,Coordination
trismus,Neurological or Musculoskeletal,Lockjaw
unintentional drooling,Neurological or Pediatric,Sialorrhea
excessive drooling,Neurological or Pediatric,Hypersalivation
insensitivity,Neurological or Psychological,Reduced Sensation
burning feet,Neurological or Vascular,Burning Sensation
thoracic outlet syndrome,Neurological or Vascular,Shoulder/Arm
burning feet,Neurological or Vascular,Burning Sensation
chronic pain,Pain-Related,Chronic
growing pains,Pediatric,Musculoskeletal
limping in children,Pediatric,Musculoskeletal
enuresis,Pediatric,Incontinence
febrile seizures,Pediatric,Neurological
limping in children,Pediatric,Musculoskeletal
colic,Pediatric,Infant GI Distress
cradle cap,Pediatric,Skin-Related
bedwetting,Pediatric,Enuresis
inability to concentrate urine,Renal,Concentration Defect
blood in semen,Reproductive,Hematospermia
foreskin problems,Reproductive,Penile
galactorrhea,Reproductive,Breast Discharge
priapism,Reproductive,Painful Erection
late periods,Reproductive,Menstrual Delay
lactation unrelated to childbirth,Reproductive,Galactorrhea
breast pain,Reproductive,Breast Symptom
prostate problems,Reproductive,Genitourinary
tight foreskin,Reproductive,Phimosis
genital problems,Reproductive,
phimosis,Reproductive,Foreskin
impotence,Reproductive,Erectile Dysfunction
postmenopausal bleeding,Reproductive,Bleeding
breast swelling,Reproductive,Breast Symptom
breast tenderness,Reproductive,Breast Symptom
testis,Reproductive,Organ
testicular pain,Reproductive,Pain
low sperm count,Reproductive,Infertility
testicular lumps,Reproductive,Testicular
testicle pain,Reproductive,Testicular
irregular periods,Reproductive,Menstrual
irregular menstrual cycle,Reproductive,Menstrual
gynaecomastia,Reproductive,Male Breast Tissue
gynecomastia,Reproductive,Male Breast Tissue
heavy periods,Reproductive,Menstrual
infertility,Reproductive,Subfertility
pms,Reproductive,Premenstrual
phimosis,Reproductive,Foreskin
erectile dysfunction,Reproductive,Sexual Function
lactation unrelated to childbirth,Reproductive,Galactorrhea
dry orgasm,Reproductive,Sexual Function
prostate problems,Reproductive,Genitourinary
uterine bleeding,Reproductive,Bleeding
uterine cramps,Reproductive,Pain
vaginal bleeding,Reproductive,Bleeding
vaginal bleeding after sex,Reproductive,Bleeding
vaginal bleeding between periods,Reproductive,Bleeding
vaginal discharge,Reproductive,Discharge
bleeding after the menopause,Reproductive,Bleeding
vaginal dryness,Reproductive,Hormonal
vaginal itching,Reproductive,Itching
vaginal odor,Reproductive,Odor
vaginal pain,Reproductive,Pain
vaginal spotting,Reproductive,Bleeding
vaginismus,Reproductive,Pelvic Floor
vaginitis,Reproductive,Inflammation
vulval pain,Reproductive,Pain
vulvodynia,Reproductive,Pain
pms,Reproductive,Premenstrual
bleeding after vaginal sex,Reproductive,Bleeding
low sperm count,Reproductive,Infertility
premenstrual syndrome,Reproductive,PMS
premature ejaculation,Reproductive,Sexual
enlarged male breast tissue,Reproductive,Gynecomastia
late periods,Reproductive,Menstrual Delay
priapism,Reproductive,Painful Erection
ejaculation problem,Reproductive,Sexual Function
premature ejaculation,Reproductive,Sexual
early menopause,Reproductive,Hormonal
dyspareunia,Reproductive,Painful Intercourse
premenstrual syndrome,Reproductive,PMS
bleeding between periods,Reproductive,Bleeding
bleeding during pregnancy,Reproductive,Bleeding
postmenopausal bleeding,Reproductive,Bleeding
dysmenorrhea,Reproductive,Painful Periods
male menopause,Reproductive or Endocrine,Andropause
hot flashes,Reproductive or Endocrine,Menopausal
male menopause,Reproductive or Endocrine,Andropause
prolapse,Reproductive or GI,Organ Descent
prolapse,Reproductive or GI,Organ Descent
hemoptysis,Respiratory,Coughing Blood
chronic cough,Respiratory,Cough
difficulty breathing,Respiratory,Shortness of Breath
chest tightness,Respiratory,Chest Symptom
cough,Respiratory,Cough
wheezing,Respiratory,Airway
worsens with breathing,Respiratory,Pleuritic
coughing up blood,Respiratory,Hemoptysis
air hunger,Respiratory,Shortness of Breath
brethlessness (breathlessness),Respiratory,Shortness of Breath
cessation of breathing,Respiratory,Apnea
shallow breathing,Respiratory,Hypoventilation
dry cough,Respiratory,Cough
tachypnea,Respiratory,Rapid Breathing
irregular breathing,Respiratory,Breathing Pattern
shortness of breath,Respiratory,Dyspnea
difficulty breathing when lying flat,Respiratory,Orthopnea
chest tightness,Respiratory,Chest Symptom
dyspnea,Respiratory,Shortness of Breath
chronic cough,Respiratory,Cough
cessation of breathing,Respiratory,Apnea
hyperventilation,Respiratory,Overbreathing
low blood oxygen,Respiratory,Hypoxemia
blood in phlegm,Respiratory,Hemoptysis
pleuritic chest pain,Respiratory,Pain
blood in sputum,Respiratory,Hemoptysis
pleuritic chest pain,Respiratory,Pain
apnea,Respiratory,Breathing Cessation
low blood oxygen,Respiratory,Hypoxemia
lack of oxygen,Respiratory or Cardiovascular,Hypoxia
lack of oxygen,Respiratory or Cardiovascular,Hypoxia
catarrh,Respiratory or EENT,Mucus Symptom
catarrh,Respiratory or EENT,Mucus Symptom
pityriasis versicolor,Skin-Related,Fungal
pressure sores,Skin-Related,Ulcer
athlete foot,Skin-Related,Fungal Infection
pressure ulcers,Skin-Related,Ulcer
malar rash,Skin-Related,Facial Rash
stretch marks,Skin-Related,Striae
bullous pemphigoid,Skin-Related,Autoimmune Blistering
birthmarks,Skin-Related,Pigmentation
butterfly rash,Skin-Related,Facial Rash (e.g. lupus)
cellulitis,Skin-Related,Bacterial Infection
bullous pemphigoid,Skin-Related,Autoimmune Blistering
varicose eczema,Skin-Related,Eczema
skin tags,Skin-Related,Outgrowth
skin thickening,Skin-Related,Hyperkeratosis
ichthyosis,Skin-Related,Scaling
lichen planus,Skin-Related,Autoimmune
piloerection,Skin-Related,Goosebumps
dermal rash,Skin-Related,Rash
acanthosis nigricans,Skin-Related,Pigmentation
fungal nail infection,Skin-Related,Nail
verrucas,Skin-Related,Warts (Viral)
petechiae,Skin-Related,Hemorrhagic Spot
butterfly rash,Skin-Related,Facial Rash (e.g. lupus)
under eye circles,Skin-Related,Periorbital
petechiae,Skin-Related,Hemorrhagic Spot
hyperpigmentation,Skin-Related,Pigment
hidradenitis suppurativa,Skin-Related,Chronic Inflammatory
pityriasis rosea,Skin-Related,Rash
sunburn,Skin-Related,Burn
polymorphic light eruption,Skin-Related,Photosensitivity
blisters,Skin-Related,Lesions
goosebumps,Skin-Related,Piloerection
keratosis pilaris,Skin-Related,Follicular
granuloma annulare,Skin-Related,Granulomatous
lichen sclerosus,Skin-Related,Autoimmune
grey skin,Skin-Related,Discoloration
keloid scar,Skin-Related,Scar
chilblains,Skin-Related,Cold Injury
pigmentation changes,Skin-Related,Color Alteration
dyshidrotic eczema,Skin-Related,Eczema
piloerection,Skin-Related,Goosebumps
hair dryness,Skin-Related,Hair
hair dye reactions,Skin-Related,Allergic
alopecia,Skin-Related,Hair Loss
alopecia areata,Skin-Related,Hair Loss (Autoimmune)
hair loss,Skin-Related,Alopecia
hair thinning,Skin-Related,Alopecia
chilblains,Skin-Related,Cold Injury
actinic keratoses,Skin-Related,Precancerous Lesion
dry lips,Skin-Related,Lip Dryness
loss of hair in patches,Skin-Related,Alopecia Areata
discoid eczema,Skin-Related,Eczema
pompholyx,Skin-Related,Eczema
cellulitis,Skin-Related,Bacterial Infection
heat rash,Skin-Related,Rash
pityriasis rosea,Skin-Related,Rash
pityriasis versicolor,Skin-Related,Fungal
sweat rash,Skin-Related,Intertrigo
boils,Skin-Related,Infection
skin swelling,Skin-Related,Edema
acne,Skin-Related,Inflammatory Lesions
skin sores,Skin-Related,Lesions
pressure sores,Skin-Related,Ulcer
skin reaction to sunlight,Skin-Related,Photosensitivity
prickly heat,Skin-Related,Heat Rash
breast rash,Skin-Related,Localized Rash
warts,Skin-Related,Viral Lesion
pompholyx,Skin-Related,Eczema
brittle nails,Skin-Related,Nail Changes
itching,Skin-Related,Pruritus
itchy,Skin-Related,Pruritus
scalp flaking,Skin-Related,Scalp
scalp itching,Skin-Related,Pruritus
pigmentation changes,Skin-Related,Color Alteration
scalp tenderness,Skin-Related,Scalp Pain
itchy skin,Skin-Related,Pruritus
cold sore,Skin-Related,Infectious (Herpes)
corns and calluses,Skin-Related,Hyperkeratosis
facial flushing,Skin-Related,Redness
skin redness,Skin-Related,Erythema
falling hair,Skin-Related,Hair Loss
atopic eczema,Skin-Related,Eczema
loss of hair in patches,Skin-Related,Alopecia Areata
pressure ulcers,Skin-Related,Ulcer
scars,Skin-Related,Scar Tissue
keratosis pilaris,Skin-Related,Follicular
keloid scar,Skin-Related,Scar
lichen sclerosus,Skin-Related,Autoimmune
skin rash,Skin-Related,Rash
skin dryness,Skin-Related,Xerosis
skin cyst,Skin-Related,Lesion
impetigo,Skin-Related,Infectious
skin abscess,Skin-Related,Bacterial Infection
prickly heat,Skin-Related,Heat Rash
dark circles under eyes,Skin-Related,Periorbital
dandruff,Skin-Related,Scalp Flaking
polymorphic light eruption,Skin-Related,Photosensitivity
erythema,Skin-Related,Redness
erythema multiforme,Skin-Related,Inflammatory
vitiligo,Skin-Related,Pigment Loss
malar rash,Skin-Related,Facial Rash
ingrown hairs,Skin-Related,Hair Issue
erythema nodosum,Skin-Related,Inflammatory
clammy skin,Skin-Related,Moisture Abnormality
lichen planus,Skin-Related,Autoimmune
contact dermatitis,Skin-Related,Allergic/Inflammatory
leukoplakia,Skin-Related or Dental & Oral,Precancerous
leukoplakia,Skin-Related or Dental & Oral,Precancerous
photosensitivity,Skin-Related or EENT,Light Sensitivity
photosensitivity,Skin-Related or EENT,Light Sensitivity
tongue burning,Skin-Related or EENT,Oral Sensation
ulcers,Skin-Related or GI,Lesion
lumps under skin,Skin-Related or Musculoskeletal,Subcutaneous
lumps under skin,Skin-Related or Musculoskeletal,Subcutaneous
leg ulcer,Skin-Related or Vascular,Ulcer
venous leg ulcer,Skin-Related or Vascular,Ulcer
leg ulcer,Skin-Related or Vascular,Ulcer
infected piercings,Skin-Related or Wound,Infection
sleep attacks,Sleep-Relat,
sleep apnoea,Sleep-Related,Respiratory
excessive daytime sleepiness,Sleep-Related,Hypersomnia
jet lag,Sleep-Related,Circadian
insomnia,Sleep-Related,Difficulty Sleeping
jet lag,Sleep-Related,Circadian
difficulty falling asleep,Sleep-Related,Insomnia
daytime sleepiness,Sleep-Related,Hypersomnia
sudden urge to sleep,Sleep-Related,Narcolepsy
excessive sleepiness,Sleep-Related,Hypersomnia
hypersomnia,Sleep-Related,Excessive Sleep
cannabis oil,Substance,Alternative/Complementary
cannabis,Substance,Drug
cannabis oil,Substance,Alternative/Complementary
cannabis,Substance,Drug
cervical screening,Therapy or Procedure,Diagnostic
electrocardiogram,Therapy or Procedure,Diagnostic
probiotics,Therapy or Procedure,Nutritional
emollients,Therapy or Procedure,Topical Treatment
umbilical hernia repair,Therapy or Procedure,Surgical
echocardiogram,Therapy or Procedure,Diagnostic
emergency contraceptive pill,Therapy or Procedure,Medication
electroencephalogram,Therapy or Procedure,Diagnostic
acupuncture,Therapy or Procedure,Alternative/Physical
laxatives,Therapy or Procedure,Medication
electrolyte test,Therapy or Procedure,Diagnostic
enhanced recovery,Therapy or Procedure,Post-Op Protocol
chemotherapy,Therapy or Procedure,Cancer Treatment
endoscopy,Therapy or Procedure,Diagnostic
lens surgery,Therapy or Procedure,EENT
laser eye surgery,Therapy or Procedure,EENT
plastic surgery,Therapy or Procedure,Cosmetic/Reconstructive
chiropractic,Therapy or Procedure,Alternative
corticosteroids,Therapy or Procedure,Medication
corticosteroid cream,Therapy or Procedure,Medication
cognitive behavioural therapy,Therapy or Procedure,Mental Health Treatment
coronary artery bypass graft,Therapy or Procedure,Cardiovascular Surgery
coronary angioplasty,Therapy or Procedure,Interventional Cardiology
coronary angiography,Therapy or Procedure,Cardiovascular Diagnostic
photodynamic therapy,Therapy or Procedure,Treatment
cornea transplant,Therapy or Procedure,EENT Surgical
copper coil,Therapy or Procedure,Contraception
contraceptive patch,Therapy or Procedure,Family Planning
wisdom tooth removal,Therapy or Procedure,Dental
contraceptive injection,Therapy or Procedure,Family Planning
contraceptive implant,Therapy or Procedure,Family Planning
contraception,Therapy or Procedure,Family Planning
beta blockers,Therapy or Procedure,Medication
pet scan,Therapy or Procedure,Diagnostic
colonoscopy,Therapy or Procedure,Diagnostic
colostomy,Therapy or Procedure,GI Surgical
combined pill,Therapy or Procedure,Contraception
mastectomy,Therapy or Procedure,Cancer Surgery
cosmetic procedures,Therapy or Procedure,Plastic Surgery
physiotherapy,Therapy or Procedure,Rehabilitation
mammogram,Therapy or Procedure,Diagnostic
local anaesthesia,Therapy or Procedure,Anesthesia
lumbar decompression surgery,Therapy or Procedure,Orthopedic/Neurosurgery
lumbar puncture,Therapy or Procedure,Diagnostic
diaphragm,Therapy or Procedure,Contraception
lung health checks,Therapy or Procedure,Screening
dialysis,Therapy or Procedure,Renal Replacement
barium enema,Therapy or Procedure,Diagnostic
pneumococcal vaccine,Therapy or Procedure,Vaccination
vaginal ring,Therapy or Procedure,Contraception
urinary catheter,Therapy or Procedure,Urological
male sterilisation,Therapy or Procedure,Contraception
diabetic eye screening,Therapy or Procedure,Diagnostic
pip breast implants,Therapy or Procedure,Implants
vasectomy,Therapy or Procedure,Contraception
dexa scan,Therapy or Procedure,Diagnostic
decongestants,Therapy or Procedure,Medication
cystoscopy,Therapy or Procedure,Diagnostic
circumcision,Therapy or Procedure,Surgical
clinical trials,Therapy or Procedure,Research
biopsy,Therapy or Procedure,Diagnostic
chorionic villus sampling,Therapy or Procedure,Diagnostic
epidural,Therapy or Procedure,Anesthesia
chiropractic,Therapy or Procedure,Alternative
progestogen only pill,Therapy or Procedure,Contraception
intrauterine insemination,Therapy or Procedure,Fertility
intrauterine device,Therapy or Procedure,Contraception
intensive care,Therapy or Procedure,Hospital
lung health checks,Therapy or Procedure,Screening
inguinal hernia repair,Therapy or Procedure,Surgical
angioplasty,Therapy or Procedure,Interventional
angiography,Therapy or Procedure,Diagnostic
arthroscopy,Therapy or Procedure,Diagnostic or Surgical
male sterilisation,Therapy or Procedure,Contraception
ileostomy,Therapy or Procedure,GI Surgical
steroid cream,Therapy or Procedure,Medication
steroid inhalers,Therapy or Procedure,Medication
steroid injections,Therapy or Procedure,Medication
hysteroscopy,Therapy or Procedure,Diagnostic
steroid nasal sprays,Therapy or Procedure,Medication
steroid tablets,Therapy or Procedure,Medication
steroids,Therapy or Procedure,Medication
hysterectomy,Therapy or Procedure,Surgical
mammogram,Therapy or Procedure,Diagnostic
bronchodilators,Therapy or Procedure,Medication
hypnotherapy,Therapy or Procedure,Alternative Mental Health
pneumococcal vaccine,Therapy or Procedure,Vaccination
hpv vaccine,Therapy or Procedure,Vaccination
intrauterine system,Therapy or Procedure,Contraception
ipv vaccine,Therapy or Procedure,Vaccination
lumbar puncture,Therapy or Procedure,Diagnostic
lumbar decompression surgery,Therapy or Procedure,Orthopedic/Neurosurgery
laxatives,Therapy or Procedure,Medication
aortic valve replacement,Therapy or Procedure,Cardiovascular Surgery
probiotics,Therapy or Procedure,Nutritional
lens surgery,Therapy or Procedure,EENT
laser eye surgery,Therapy or Procedure,EENT
progestogen only pill,Therapy or Procedure,Contraception
laparoscopy,Therapy or Procedure,Minimally Invasive
antihistamines,Therapy or Procedure,Medication
knee replacement,Therapy or Procedure,Orthopedic
knee ligament surgery,Therapy or Procedure,Orthopedic
antifungal,Therapy or Procedure,Medication
laparoscopy,Therapy or Procedure,Minimally Invasive
antidepressants,Therapy or Procedure,Medication
braces,Therapy or Procedure,Orthodontic
antibiotics,Therapy or Procedure,Medication
breast reduction on the nhs,Therapy or Procedure,Surgical
breast screening,Therapy or Procedure,Diagnostic
antacids,Therapy or Procedure,Medication
local anaesthesia,Therapy or Procedure,Anesthesia
keyhole surgery,Therapy or Procedure,Minimally Invasive
ivf,Therapy or Procedure,Fertility
ius,Therapy or Procedure,Contraception
iui,Therapy or Procedure,Fertility
iud,Therapy or Procedure,Contraception
anticoagulant,Therapy or Procedure,Medication
stool sample,Therapy or Procedure,Diagnostic
hormonal coil,Therapy or Procedure,Contraception
homeopathy,Therapy or Procedure,Alternative
blood tests,Therapy or Procedure,Diagnostic
chorionic villus sampling,Therapy or Procedure,Diagnostic
blood pressure test,Therapy or Procedure,Diagnostic
knee ligament surgery,Therapy or Procedure,Orthopedic
genetic and genomic testing,Therapy or Procedure,Diagnostic
general anaesthetic,Therapy or Procedure,Anesthesia
gastroscopy,Therapy or Procedure,Diagnostic
gastrectomy,Therapy or Procedure,Surgical
gallbladder removal,Therapy or Procedure,Surgical
pet scan,Therapy or Procedure,Diagnostic
caesarean section,Therapy or Procedure,Obstetric Surgery
knee replacement,Therapy or Procedure,Orthopedic
cardiac catheterisation,Therapy or Procedure,Cardiovascular Diagnostic
first aid,Therapy or Procedure,Emergency
carotid endarterectomy,Therapy or Procedure,Cardiovascular Surgical
femoral hernia repair,Therapy or Procedure,Surgical
female sterilisation,Therapy or Procedure,Contraception
topical corticosteroids,Therapy or Procedure,Medication
cataract surgery,Therapy or Procedure,EENT Surgical
tracheostomy,Therapy or Procedure,Airway
transurethral resection of the prostate,Therapy or Procedure,Urological
travel vaccinations,Therapy or Procedure,Prevention
adenoidectomy,Therapy or Procedure,Surgical
stop smoking treatments,Therapy or Procedure,Medication or Counseling
alexander technique,Therapy or Procedure,Alternative/Physical
keyhole surgery,Therapy or Procedure,Minimally Invasive
physiotherapy,Therapy or Procedure,Rehabilitation
home oxygen therapy,Therapy or Procedure,Respiratory Support
amputation,Therapy or Procedure,Surgical
caesarean section,Therapy or Procedure,Obstetric Surgery
bone density scan,Therapy or Procedure,Diagnostic
hip replacement,Therapy or Procedure,Orthopedic
amniocentesis,Therapy or Procedure,Diagnostic
cardiac catheterisation,Therapy or Procedure,Cardiovascular Diagnostic
herbal medicines,Therapy or Procedure,Alternative
carotid endarterectomy,Therapy or Procedure,Cardiovascular Surgical
cataract surgery,Therapy or Procedure,EENT Surgical
photodynamic therapy,Therapy or Procedure,Treatment
mastectomy,Therapy or Procedure,Cancer Surgery
plastic surgery,Therapy or Procedure,Cosmetic/Reconstructive
cervical screening,Therapy or Procedure,Diagnostic
heart bypass,Therapy or Procedure,Cardiovascular Surgery
pip breast implants,Therapy or Procedure,Implants
hearing tests,Therapy or Procedure,Diagnostic
hearing aids,Therapy or Procedure,Assistive Device
hand tendon repair,Therapy or Procedure,Surgical
chemotherapy,Therapy or Procedure,Cancer Treatment
teeth whitening,Therapy or Procedure,Dental
blood transfusion,Therapy or Procedure,Transfusion
heart valve replacement,Therapy or Procedure,Cardiovascular Surgery
colposcopy,Therapy or Procedure,Diagnostic
superficial thrombophlebitis,Vascular,Vein Inflammation
cold hands,Vascular,Cold Extremities
phlebitis,Vascular,Vein Inflammation
phlebitis,Vascular,Vein Inflammation
hetrosexual (likely heterosexual - not a symptom),,
surgeryswallowing problems (typo?),,
